County,Centerline Miles,Lane-miles,Area (sy),Area (sm),PCI 2008,PCI 2010,PCI 2012,PCI 2014,PCI 2016,PCI 2018,PCI 2020,Change in PCI,Population,LOST Active between 08-20,Measure expired and replaced?,Period Active,LOST Rate,Multiple LOSTS Active at same time?,Average Streets & Roads Percent,Average Local Return Percent,Streets Metric,Local Return Metric,Did the PCI start below 60?,Did the PCI fall below 60?,Pop per lane miles,Most Common Climate Zone,Climate Zone Percentage,CZP1,CZP2,CZP3,CZP4,CZP5,CZP6,CZP7,CZP8,CZP9,CZP10,CZP11,CZP12,CZP13,CZP14,CZP15,CZP16
Napa,740,1513,13048684,4.212514205,53,60,59,59,59,59,56,3,138572,TRUE,FALSE,0.17,0.01,FALSE,0.92,0.99,0.0007694166667,0.000825,TRUE,TRUE,91.58757436,2,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Nevada,806,1625,10348493,3.340809982,72,71,72,71,70,68,67,-5,99417,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,FALSE,61.17969231,11,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.5000
Orange,6603,16326,153443823,49.53635815,78,76,77,77,79,79,79,1,3170345,TRUE,TRUE,1.00,0.01,FALSE,0.29,0.19,0.0014625,0.0009375,FALSE,FALSE,194.1899424,8,0.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.3056,0.0000,0.6944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Placer,2063,4322,37360569,12.0611341,79,77,71,69,68,64,67,-12,391799,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,FALSE,90.65224433,11,0.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6207,0.0000,0.0000,0.0000,0.0000,0.3793
Plumas,706,1412,9070195,2.928136299,71,66,66,64,72,73,71,0,18844,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,FALSE,13.34560907,16,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Riverside,7899,17774,161794983,52.23236796,71,72,70,70,71,68,68,-3,2437864,TRUE,TRUE,1.00,0.01,FALSE,0.32,0.32,0.001604166667,0.001604166667,FALSE,FALSE,137.1589963,10,0.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6735,0.0000,0.0000,0.0000,0.0000,0.2959,0.0306
Sacramento,5028,10961,95785803,30.9225862,68,66,64,62,62,60,58,-10,1537948,TRUE,TRUE,1.00,0.01,FALSE,0.35,0.35,0.001741666667,0.001741666667,FALSE,FALSE,140.3109205,12,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
San Benito,492,761,5156435,1.664654894,68,66,66,48,46,37,37,-31,61547,TRUE,FALSE,0.08,0.01,FALSE,0.45,0.45,0.0003711666667,0.0003711666667,FALSE,TRUE,80.87647832,4,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
San Bernardino,8905,22601,181506462,58.59583613,72,70,70,71,71,70,74,2,2162532,TRUE,TRUE,1.00,0.01,FALSE,0.17,0.24,0.0008333333333,0.0012125,FALSE,FALSE,95.68302288,10,0.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4545,0.0000,0.0000,0.0000,0.3058,0.0496,0.1901
San Diego,7759,18760,174285803,56.26478661,74,69,67,66,65,69,70,-4,3323970,TRUE,FALSE,1.00,0.01,FALSE,0.32,0.32,0.0016,0.0016,FALSE,FALSE,177.1839019,7,0.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6649,0.0000,0.0000,0.2447,0.0000,0.0000,0.0000,0.0851,0.0053,0.0000
